2021 Statistical Area Level 1 (SA1),State,Usual Resident Population,Score,Percentile within State
10102100701,NSW,305,984.3059276,40
10102100702,NSW,301,1072.300317,68
10102100703,NSW,471,970.2892904,35
10102100704,NSW,522,973.5325854,36
10102100705,NSW,423,995.3451069,43
10102100706,NSW,290,948.4537902,28
10102100707,NSW,416,1003.218875,46
10102100708,NSW,643,1035.907711,57
10102100709,NSW,437,1048.263437,61
10102100710,NSW,541,972.6010446,36
10102100801,NSW,392,995.2430929,43
10102100802,NSW,574,1053.361565,62
10102100803,NSW,359,835.7921467,6
10102100804,NSW,427,862.6598727,9
10102100805,NSW,272,752.9185552,2
10102100806,NSW,408,980.6480242,38
10102100807,NSW,486,959.2593208,31
10102100808,NSW,508,945.5706372,27
10102100810,NSW,249,1051.281422,62
10102100811,NSW,359,1021.866518,52
10102100812,NSW,270,1115.451518,80
10102100813,NSW,421,1085.047022,72
10102100814,NSW,515,1028.288433,54
10102100815,NSW,509,952.4446788,30
10102100816,NSW,460,881.3914321,12
10102100817,NSW,343,1002.178139,46
10102100818,NSW,310,965.3819049,33
10102100819,NSW,449,1056.089983,63
10102100820,NSW,296,962.9317279,33
10102100821,NSW,454,1037.490736,57
10102100822,NSW,228,1085.242264,72
10102100823,NSW,225,985.4017989,40
10102100901,NSW,243,1045.511397,60
10102100902,NSW,380,1051.353926,62
10102100904,NSW,347,1080.489718,71
10102100905,NSW,428,1029.174194,54
10102100907,NSW,514,1002.278607,46
10102100908,NSW,537,999.1395292,45
10102100909,NSW,616,961.1372885,32
10102100910,NSW,564,949.8963744,29
10102100911,NSW,455,966.0959507,34
10102100912,NSW,293,959.6379123,32
10102100913,NSW,648,1025.070454,53
10102100914,NSW,432,1014.886265,50
10102100915,NSW,781,973.8885391,36
10102100916,NSW,482,987.1378128,41
10102100917,NSW,240,950.2530363,29
10102100918,NSW,568,1026.722047,53
10102100919,NSW,524,1009.140112,48
10102100920,NSW,377,926.9706496,22
10102100921,NSW,410,1032.36586,55
10102100923,NSW,465,1019.234558,51
10102100925,NSW,480,1008.668031,48
10102100926,NSW,259,968.2031555,34
10102100927,NSW,339,1065.209065,66
10102100928,NSW,384,996.805996,44
10102100929,NSW,542,946.3644444,28
10102101001,NSW,183,989.9168946,41
10102101002,NSW,356,1136.308168,86
10102101003,NSW,316,1112.053236,80
10102101004,NSW,292,1064.455391,66
10102101006,NSW,497,927.6158738,22
10102101007,NSW,246,944.3916494,27
10102101008,NSW,527,958.2051358,31
10102101009,NSW,373,990.7836754,42
10102101010,NSW,405,979.6960475,38
10102101012,NSW,94,994.6071869,43
10102101014,NSW,162,1109.447027,79
10102101015,NSW,641,982.3188897,39
10102101016,NSW,433,1093.573909,74
10102101017,NSW,508,1022.618687,52
10102101201,NSW,205,1125.968237,83
10102101202,NSW,276,1204.93035,100
10102101203,NSW,607,1154.267772,91
10102101204,NSW,382,1204.54148,100
10102101205,NSW,320,1179.916826,97
10102101206,NSW,393,1202.437984,100
10102101207,NSW,214,1065.160558,66
10102101208,NSW,418,1013.69291,49
10102101209,NSW,784,1137.342065,86
10102101210,NSW,427,1107.39404,78
10102101211,NSW,638,1154.407876,91
10102101212,NSW,350,1109.958016,79
10102101213,NSW,520,1142.172622,88
10102101214,NSW,531,1150.592911,90
10102101215,NSW,488,1085.211597,72
10102101216,NSW,308,1108.800797,79
10102101217,NSW,51,983.0328952,39
10102101218,NSW,497,1074.341177,69
10102101219,NSW,634,1024.420469,53
10102101220,NSW,460,1024.347451,53
10102101221,NSW,317,1081.925237,71
10102101222,NSW,507,1109.108149,79
10102101223,NSW,613,1091.770837,74
10102101224,NSW,528,1153.587797,91
10102101227,NSW,437,1194.696523,99
10102101228,NSW,396,1065.502222,66
10102101229,NSW,446,910.0466943,18
10102101230,NSW,208,851.140328,7
10102101231,NSW,326,1148.510244,89
10102101232,NSW,470,1148.733541,89
10102161001,NSW,425,1103.100731,77
10102161002,NSW,324,1197.204442,99
10102161003,NSW,646,1133.553739,86
10102161004,NSW,273,1161.051351,92
10102161005,NSW,451,1176.179032,96
10102161006,NSW,445,1186.737885,98
10102161007,NSW,409,1134.10501,86
10102161008,NSW,289,1121.503979,82
10102161009,NSW,260,1156.084666,91
10102161010,NSW,411,1149.434894,90
10102161011,NSW,409,1157.055224,92
10102161012,NSW,379,1202.544163,100
10102161013,NSW,526,1156.996682,92
10102161014,NSW,485,1130.567062,85
10102161015,NSW,491,1166.232072,94
10102161101,NSW,278,1104.264929,77
10102161102,NSW,226,1123.316459,83
10102161103,NSW,220,1149.490575,90
10102161104,NSW,379,1071.646494,68
10102161105,NSW,335,1140.282224,87
10102161106,NSW,460,1140.623108,87
10102161107,NSW,463,1032.674255,56
10102161108,NSW,472,1109.078469,79
10102161109,NSW,528,1147.263689,89
10102161110,NSW,351,1142.80825,88
10102161111,NSW,489,1016.834066,50
10102161112,NSW,303,1152.667236,90
10102161113,NSW,389,1132.263511,85
10102161114,NSW,156,1023.919659,52
10102161115,NSW,312,1093.784084,75
10102161116,NSW,323,1119.40015,82
10102161117,NSW,250,1154.460814,91
10102161118,NSW,494,1131.127586,85
10102161119,NSW,456,1150.514503,90
10102161120,NSW,300,1025.855741,53
10102161121,NSW,129,1084.71858,72
10102161122,NSW,367,1135.121817,86
10102161123,NSW,152,1031.384387,55
10102161124,NSW,642,1086.211132,72
10102161125,NSW,244,1065.178223,66
10102161126,NSW,610,1066.850455,66
10102161127,NSW,315,1127.461266,84
10102161128,NSW,110,1097.673326,76
10102161129,NSW,293,1126.670869,84
10102161130,NSW,473,931.0583524,23
10102161131,NSW,489,1087.94361,73
10102161132,NSW,352,1144.191827,88
10102161133,NSW,416,1133.360359,85
10102161134,NSW,185,1063.340653,65
10102161135,NSW,322,1139.980231,87
10102161136,NSW,377,1125.373986,83
10102161137,NSW,287,1108.033429,78
10102161138,NSW,661,1147.602127,89
10102161139,NSW,319,1132.329229,85
10102161140,NSW,450,1127.084608,84
10102161141,NSW,388,1149.471919,90
10102161142,NSW,141,1122.218728,82
10102161143,NSW,227,1149.878015,90
10102161144,NSW,480,1091.389572,74
10102161145,NSW,601,1100.798586,76
10102161146,NSW,334,1089.793016,73
10103101301,NSW,201,837.5283553,6
10103101302,NSW,470,904.3171134,17
10103101303,NSW,257,857.6699464,8
10103101304,NSW,406,914.9306919,19
10103101305,NSW,350,1028.830948,54
10103101306,NSW,181,1041.628673,59
10103101307,NSW,321,931.0252771,23
10103101308,NSW,268,972.7384606,36
10103101401,NSW,250,858.199239,8
10103101402,NSW,372,973.6904009,36
10103101403,NSW,395,931.9916998,24
10103101404,NSW,463,963.3374752,33
10103101405,NSW,451,917.6696819,20
10103101406,NSW,498,961.4955451,32
10103101407,NSW,386,989.0248801,41
10103101408,NSW,200,933.6894084,24
10103101409,NSW,416,975.476598,37
10103101410,NSW,399,955.4007077,30
10103101411,NSW,553,924.70093670000006,22
10103101412,NSW,589,965.7229463,34
10103101414,NSW,181,1000.03632,45
10103101415,NSW,421,961.4068039,32
10103101419,NSW,482,968.5962546,35
10103101420,NSW,309,1014.902527,50
10103101421,NSW,390,905.5794256,17
10103101503,NSW,250,861.2144994,9
10103101505,NSW,74,1057.991355,64
10103101511,NSW,257,934.4188184,24
10103101512,NSW,140,1050.753439,61
10103101514,NSW,166,1061.226336,65
10103101515,NSW,254,962.8504253,33
10103101516,NSW,119,1071.890236,68
10103101517,NSW,179,966.356186,34
10103101518,NSW,322,1034.582239,56
10103101519,NSW,339,1063.16242,65
10103101520,NSW,141,1029.426952,54
10103101521,NSW,404,1009.886939,48
10103101523,NSW,210,1069.711015,67
10103101524,NSW,199,1021.32835,52
10103101525,NSW,137,1028.465945,54
10103101526,NSW,253,996.1870399,44
10103101602,NSW,450,935.9512926,25
10103101603,NSW,367,1017.954397,51
10103101604,NSW,294,1022.825813,52
10103101605,NSW,250,1068.304407,67
10103101606,NSW,628,1054.784096,63
10103101607,NSW,252,952.8604411,30
10103101608,NSW,307,1047.669857,60
10103101611,NSW,400,1028.282495,54
10103101614,NSW,451,1040.12409,58
10103101615,NSW,402,1046.423552,60
10103101616,NSW,512,1001.19117,45
10103101617,NSW,439,975.7935618,37
10103101619,NSW,575,960.5371174,32
10103101620,NSW,218,1033.233133,56
10103101621,NSW,87,1043.915397,59
10103101622,NSW,201,1097.577839,76
10103101623,NSW,613,1064.015281,65
10103101625,NSW,427,1035.262385,56
10103101626,NSW,291,1088.405915,73
10103101627,NSW,695,1040.719003,58
10104101701,NSW,631,842.3352981,6
10104101702,NSW,247,893.5992022,14
10104101703,NSW,449,950.771028,29
10104101704,NSW,414,849.4118152,7
10104101705,NSW,225,818.3049683,4
10104101706,NSW,501,869.3358058,10
10104101708,NSW,437,951.8335352,29
10104101709,NSW,851,963.5890237,33
10104101710,NSW,533,1016.654324,50
10104101711,NSW,473,983.1433203,39
10104101713,NSW,417,933.1792389,24
10104101716,NSW,503,855.6101338,8
10104101717,NSW,325,904.3470563,17
10104101718,NSW,429,814.1545293,4
10104101719,NSW,408,902.3384489,16
10104101720,NSW,298,923.7675692,21
10104101721,NSW,400,843.1855759,6
10104101722,NSW,500,924.8429095,22
10104101723,NSW,432,914.7756342,19
10104101724,NSW,108,980.3886556,38
10104101801,NSW,313,998.4011864,44
10104101802,NSW,281,1019.427197,51
10104101803,NSW,375,1050.834047,61
10104101804,NSW,203,990.7639452,42
10104101805,NSW,273,1024.939413,53
10104101806,NSW,444,889.6799031,14
10104101807,NSW,498,929.5380536,23
10104101808,NSW,494,894.23722540000006,15
10104101809,NSW,320,1017.230727,50
10104101810,NSW,329,877.6613109,11
10104101811,NSW,522,960.2803501,32
10104101812,NSW,422,927.3209522,22
10104101813,NSW,283,1024.302671,53
10104101814,NSW,257,981.6201484,39
10104101815,NSW,410,993.1568293,43
10104101816,NSW,406,962.2995445,32
10104101817,NSW,709,998.850485,44
10104101818,NSW,496,947.8988354,28
10104101819,NSW,521,940.8527224,26
10104101820,NSW,303,843.4802091,7
10104101821,NSW,210,969.2791095,35
10104101822,NSW,436,923.6855895,21
10104101823,NSW,436,866.6985952,9
10104101901,NSW,510,853.3766252,8
10104101902,NSW,465,876.7275369,11
10104101903,NSW,270,881.0556848,12
10104101904,NSW,434,894.1577302,15
10104101905,NSW,413,828.1816214,5
10104101906,NSW,537,927.8745101,22
10104101907,NSW,343,880.4267652,12
10104101911,NSW,394,1005.668698,47
10104101912,NSW,356,998.3564925,44
10104101913,NSW,380,1001.097197,45
10104101915,NSW,219,1017.819452,51
10104101917,NSW,831,980.2137496,38
10104101918,NSW,288,983.3083777,39
10104101919,NSW,317,999.7639017,45
10104101920,NSW,293,889.5466981,14
10104101921,NSW,377,1009.590596,48
10104101924,NSW,476,1007.0014,47
10104101925,NSW,368,841.5788657,6
10104101926,NSW,299,976.4161151,37
10104101927,NSW,153,1047.640871,60
10104101928,NSW,668,971.4916845,35
10104101929,NSW,253,851.6581678,7
10104101931,NSW,45,1000.317714,45
10104101932,NSW,93,1062.469552,65
10104101933,NSW,105,927.4909966,22
10104102001,NSW,476,1014.143759,49
10104102002,NSW,552,971.4712453,35
10104102003,NSW,462,944.8934881,27
10104102004,NSW,373,959.9777342,32
10104102005,NSW,280,903.733942,16
10104102006,NSW,361,879.4721835,12
10104102007,NSW,409,999.3621733,45
10104102008,NSW,347,946.4068592,28
10104102011,NSW,386,992.7824866,42
10104102013,NSW,150,858.4096756,8
10104102014,NSW,204,1011.404492,48
10104102015,NSW,197,950.8669456,29
10104102016,NSW,261,967.8615055,34
10104102017,NSW,262,963.0911268,33
10104102018,NSW,426,965.0169296,33
10104102019,NSW,362,1001.663967,45
10104102020,NSW,581,936.7002046,25
10104102022,NSW,322,891.2996835,14
10104102023,NSW,323,957.5342745,31
10104102024,NSW,260,944.1565268,27
10104102025,NSW,389,944.6935104,27
10104102026,NSW,183,1018.750022,51
10104102027,NSW,264,956.4326198,31
10104102028,NSW,510,992.0862541,42
10104102029,NSW,342,927.4961906,22
10104102030,NSW,417,880.335274,12
10104102031,NSW,206,967.5838237,34
10104102032,NSW,244,905.2773606,17
10104102102,NSW,220,983.4307774,39
10104102104,NSW,756,1033.315008,56
10104102105,NSW,600,998.3772164,44
10104102106,NSW,638,945.0321898,27
10104102107,NSW,608,1018.52346,51
10104102108,NSW,464,1029.228505,54
10104102110,NSW,454,989.3036059,41
10104102111,NSW,54,1057.036963,63
10104102201,NSW,43,929.4223271,23
10104102301,NSW,368,890.2504326,14
10104102302,NSW,401,934.2096346,24
10104102303,NSW,418,975.102176,37
10104102304,NSW,195,940.0256664,26
10104102305,NSW,479,891.2507756,14
10104102306,NSW,330,858.8108756,8
10104102307,NSW,329,818.3103984,4
10104102308,NSW,573,759.3141908,2
10104102309,NSW,327,926.624206,22
