"2021 Statistical Area Level 2  (SA2) 9-Digit Code","Sa2name","Score...3","Decile...4","Score...5","Decile...6","Score...7","Decile...8","Score...9","Decile...10","Usual Resident Population"
201011006,"Delacombe","982","4","947","3","1006","6",937,3,10661
201021011,"Daylesford","1028","6","1011","6","1014","6",1045,7,9955
202011018,"Bendigo","919","2","918","2","900","1",957,4,14929
202021027,"Castlemaine","998","5","984","5","971","4",1037,7,11352
202021030,"Kyneton","1036","7","1019","6","1037","8",1028,7,10562
203021039,"Geelong","1016","6","1014","6","953","3",1045,7,13504
203021042,"Highton","1077","9","1070","8","1060","8",1077,8,24034
203021043,"Lara","1027","6","994","5","1042","8",964,5,20817
203031049,"Lorne - Anglesea","1078","9","1065","8","1040","8",1079,8,6234
204011055,"Euroa","978","4","951","4","976","4",972,5,6922
204011056,"Kilmore - Broadford","1002","5","966","4","1024","7",940,4,15563
204011058,"Nagambie","988","4","959","4","999","5",956,4,4537
204021063,"Benalla","950","3","922","2","950","3",926,3,10822
204031071,"Myrtleford","992","4","951","4","989","5",941,4,4745
205011076,"Drouin","990","4","953","4","1016","6",934,3,19773
205021081,"Bairnsdale","951","3","920","2","956","3",922,3,15684
205021084,"Lakes Entrance","955","3","923","2","962","3",922,3,11164
205021086,"Paynesville","989","4","950","3","986","5",953,4,6977
205031089,"Korumburra","1006","5","966","4","1026","7",953,4,9842
205031090,"Leongatha","998","5","963","4","1004","6",962,4,11502
205031091,"Phillip Island","1005","5","971","4","997","5",980,5,13799
205041095,"Moe - Newborough","877","1","861","1","895","1",864,1,17291
206011106,"Brunswick East","1076","9","1117","10","943","2",1162,10,12738
206011107,"Brunswick West","1047","7","1073","8","949","3",1112,9,14318
206031113,"Ascot Vale","1015","6","1062","8","981","4",1093,9,15191
206031115,"Flemington","929","2","997","6","862","1",1068,8,9065
206031116,"Moonee Ponds","1067","9","1097","9","998","5",1116,9,16224
206041117,"Carlton","962","3","1050","8","773","1",1143,10,16655
206041118,"Docklands","1044","7","1109","9","875","1",1160,10,15493
206041119,"East Melbourne","1107","10","1156","10","980","4",1189,10,4896
