2021 Statistical Area Level 1 (SA1),Usual Resident Population,Score,Percentile within Australia
10102100701,305,984.3059276,42
10102100702,301,1072.300317,76
10102100703,471,970.2892904,37
10102100704,522,973.5325854,38
10102100705,423,995.3451069,46
10102100706,290,948.4537902,29
10102100707,416,1003.218875,49
10102100708,643,1035.907711,62
10102100709,437,1048.263437,67
10102100710,541,972.6010446,38
10102100801,392,995.2430929,46
10102100802,574,1053.361565,69
10102100803,359,835.7921467,6
10102100804,427,862.6598727,9
10102100805,272,752.9185552,2
10102100806,408,980.6480242,41
10102100807,486,959.2593208,33
10102100808,508,945.5706372,29
10102100810,249,1051.281422,68
10102100811,359,1021.866518,57
10102100812,270,1115.451518,88
10102100813,421,1085.047022,80
10102100814,515,1028.288433,59
10102100815,509,952.4446788,31
10102100816,460,881.3914321,12
10102100817,343,1002.178139,49
10102100818,310,965.3819049,35
10102100819,449,1056.089983,70
10102100820,296,962.9317279,34
10102100821,454,1037.490736,63
10102100822,228,1085.242264,80
10102100823,225,985.4017989,42
10102100901,243,1045.511397,66
10102100902,380,1051.353926,68
10102100904,347,1080.489718,78
10102100905,428,1029.174194,60
10102100907,514,1002.278607,49
10102100908,537,999.1395292,48
10102100909,616,961.1372885,33
10102100910,564,949.8963744,30
10102100911,455,966.0959507,35
10102100912,293,959.6379123,33
10102100913,648,1025.070454,58
10102100914,432,1014.886265,54
10102100915,781,973.8885391,38
10102100916,482,987.1378128,43
10102100917,240,950.2530363,30
10102100918,568,1026.722047,59
10102100919,524,1009.140112,52
10102100920,377,926.9706496,23
10102100921,410,1032.36586,61
10102100923,465,1019.234558,56
10102100925,480,1008.668031,52
10102100926,259,968.2031555,36
10102100927,339,1065.209065,73
10102100928,384,996.805996,47
10102100929,542,946.3644444,29
10102101001,183,989.9168946,44
10102101002,356,1136.308168,92
10102101003,316,1112.053236,87
10102101004,292,1064.455391,73
10102101006,497,927.6158738,23
10102101007,246,944.3916494,28
10102101008,527,958.2051358,33
10102101009,373,990.7836754,45
10102101010,405,979.6960475,40
10102101012,94,994.6071869,46
10102101014,162,1109.447027,86
10102101015,641,982.3188897,41
10102101016,433,1093.573909,82
10102101017,508,1022.618687,57
10102101201,205,1125.968237,90
10102101202,276,1204.93035,100
10102101203,607,1154.267772,96
10102101204,382,1204.54148,100
10102101205,320,1179.916826,99
10102101206,393,1202.437984,100
10102101207,214,1065.160558,73
10102101208,418,1013.69291,54
10102101209,784,1137.342065,93
10102101210,427,1107.39404,86
10102101211,638,1154.407876,96
10102101212,350,1109.958016,87
10102101213,520,1142.172622,94
10102101214,531,1150.592911,95
10102101215,488,1085.211597,80
10102101216,308,1108.800797,86
10102101217,51,983.0328952,42
10102101218,497,1074.341177,76
10102101219,634,1024.420469,58
10102101220,460,1024.347451,58
10102101221,317,1081.925237,79
10102101222,507,1109.108149,86
10102101223,613,1091.770837,82
10102101224,528,1153.587797,96
10102101227,437,1194.696523,100
10102101228,396,1065.502222,73
10102101229,446,910.0466943,19
10102101230,208,851.140328,8
10102101231,326,1148.510244,95
10102101232,470,1148.733541,95
10102161001,425,1103.100731,85
10102161002,324,1197.204442,100
10102161003,646,1133.553739,92
10102161004,273,1161.051351,97
10102161005,451,1176.179032,99
10102161006,445,1186.737885,99
10102161007,409,1134.10501,92
10102161008,289,1121.503979,89
10102161009,260,1156.084666,96
10102161010,411,1149.434894,95
10102161011,409,1157.055224,96
10102161012,379,1202.544163,100
10102161013,526,1156.996682,96
10102161014,485,1130.567062,91
10102161015,491,1166.232072,97
10102161101,278,1104.264929,85
10102161102,226,1123.316459,90
10102161103,220,1149.490575,95
10102161104,379,1071.646494,75
10102161105,335,1140.282224,93
10102161106,460,1140.623108,93
10102161107,463,1032.674255,61
10102161108,472,1109.078469,86
10102161109,528,1147.263689,95
10102161110,351,1142.80825,94
10102161111,489,1016.834066,55
10102161112,303,1152.667236,95
10102161113,389,1132.263511,92
10102161114,156,1023.919659,58
10102161115,312,1093.784084,82
10102161116,323,1119.40015,89
10102161117,250,1154.460814,96
10102161118,494,1131.127586,91
10102161119,456,1150.514503,95
10102161120,300,1025.855741,58
10102161121,129,1084.71858,80
10102161122,367,1135.121817,92
10102161123,152,1031.384387,61
10102161124,642,1086.211132,80
10102161125,244,1065.178223,73
10102161126,610,1066.850455,74
10102161127,315,1127.461266,91
10102161128,110,1097.673326,83
10102161129,293,1126.670869,91
10102161130,473,931.0583524,24
10102161131,489,1087.94361,81
10102161132,352,1144.191827,94
10102161133,416,1133.360359,92
10102161134,185,1063.340653,72
10102161135,322,1139.980231,93
10102161136,377,1125.373986,90
10102161137,287,1108.033429,86
10102161138,661,1147.602127,95
10102161139,319,1132.329229,92
10102161140,450,1127.084608,91
10102161141,388,1149.471919,95
10102161142,141,1122.218728,90
10102161143,227,1149.878015,95
10102161144,480,1091.389572,82
10102161145,601,1100.798586,84
10102161146,334,1089.793016,81
10103101301,201,837.5283553,6
10103101302,470,904.3171134,17
10103101303,257,857.6699464,9
10103101304,406,914.9306919,20
10103101305,350,1028.830948,60
10103101306,181,1041.628673,65
10103101307,321,931.0252771,24
10103101308,268,972.7384606,38
10103101401,250,858.199239,9
10103101402,372,973.6904009,38
10103101403,395,931.9916998,24
10103101404,463,963.3374752,34
10103101405,451,917.6696819,21
10103101406,498,961.4955451,34
10103101407,386,989.0248801,44
10103101408,200,933.6894084,25
10103101409,416,975.476598,39
10103101410,399,955.4007077,32
10103101411,553,924.70093670000006,22
10103101412,589,965.7229463,35
10103101414,181,1000.03632,48
10103101415,421,961.4068039,34
10103101419,482,968.5962546,36
10103101420,309,1014.902527,54
10103101421,390,905.5794256,18
10103101503,250,861.2144994,9
10103101505,74,1057.991355,71
10103101511,257,934.4188184,25
10103101512,140,1050.753439,68
10103101514,166,1061.226336,72
10103101515,254,962.8504253,34
10103101516,119,1071.890236,75
10103101517,179,966.356186,35
10103101518,322,1034.582239,62
10103101519,339,1063.16242,72
10103101520,141,1029.426952,60
10103101521,404,1009.886939,52
10103101523,210,1069.711015,75
10103101524,199,1021.32835,57
10103101525,137,1028.465945,59
10103101526,253,996.1870399,47
10103101602,450,935.9512926,26
10103101603,367,1017.954397,55
10103101604,294,1022.825813,57
10103101605,250,1068.304407,74
10103101606,628,1054.784096,69
10103101607,252,952.8604411,31
10103101608,307,1047.669857,67
10103101611,400,1028.282495,59
10103101614,451,1040.12409,64
10103101615,402,1046.423552,66
10103101616,512,1001.19117,49
10103101617,439,975.7935618,39
10103101619,575,960.5371174,33
10103101620,218,1033.233133,61
10103101621,87,1043.915397,65
10103101622,201,1097.577839,83
10103101623,613,1064.015281,73
10103101625,427,1035.262385,62
10103101626,291,1088.405915,81
10103101627,695,1040.719003,64
10104101701,631,842.3352981,7
10104101702,247,893.5992022,15
10104101703,449,950.771028,30
10104101704,414,849.4118152,7
10104101705,225,818.3049683,5
10104101706,501,869.3358058,10
10104101708,437,951.8335352,30
10104101709,851,963.5890237,34
10104101710,533,1016.654324,55
10104101711,473,983.1433203,42
10104101713,417,933.1792389,25
10104101716,503,855.6101338,8
10104101717,325,904.3470563,17
10104101718,429,814.1545293,4
10104101719,408,902.3384489,17
10104101720,298,923.7675692,22
10104101721,400,843.1855759,7
10104101722,500,924.8429095,23
10104101723,432,914.7756342,20
10104101724,108,980.3886556,41
10104101801,313,998.4011864,48
10104101802,281,1019.427197,56
10104101803,375,1050.834047,68
10104101804,203,990.7639452,45
10104101805,273,1024.939413,58
10104101806,444,889.6799031,14
10104101807,498,929.5380536,24
10104101808,494,894.23722540000006,15
10104101809,320,1017.230727,55
10104101810,329,877.6613109,12
10104101811,522,960.2803501,33
10104101812,422,927.3209522,23
10104101813,283,1024.302671,58
10104101814,257,981.6201484,41
10104101815,410,993.1568293,45
10104101816,406,962.2995445,34
10104101817,709,998.850485,48
10104101818,496,947.8988354,29
10104101819,521,940.8527224,27
10104101820,303,843.4802091,7
10104101821,210,969.2791095,36
10104101822,436,923.6855895,22
10104101823,436,866.6985952,10
10104101901,510,853.3766252,8
10104101902,465,876.7275369,12
10104101903,270,881.0556848,12
10104101904,434,894.1577302,15
10104101905,413,828.1816214,5
10104101906,537,927.8745101,23
10104101907,343,880.4267652,12
10104101911,394,1005.668698,50
10104101912,356,998.3564925,47
10104101913,380,1001.097197,49
10104101915,219,1017.819452,55
10104101917,831,980.2137496,40
10104101918,288,983.3083777,42
10104101919,317,999.7639017,48
10104101920,293,889.5466981,14
10104101921,377,1009.590596,52
10104101924,476,1007.0014,51
10104101925,368,841.5788657,7
10104101926,299,976.4161151,39
10104101927,153,1047.640871,67
10104101928,668,971.4916845,37
10104101929,253,851.6581678,8
10104101931,45,1000.317714,48
10104101932,93,1062.469552,72
10104101933,105,927.4909966,23
10104102001,476,1014.143759,54
10104102002,552,971.4712453,37
10104102003,462,944.8934881,28
10104102004,373,959.9777342,33
10104102005,280,903.733942,17
10104102006,361,879.4721835,12
10104102007,409,999.3621733,48
10104102008,347,946.4068592,29
10104102011,386,992.7824866,45
10104102013,150,858.4096756,9
10104102014,204,1011.404492,53
10104102015,197,950.8669456,30
10104102016,261,967.8615055,36
10104102017,262,963.0911268,34
10104102018,426,965.0169296,35
10104102019,362,1001.663967,49
10104102020,581,936.7002046,26
10104102022,322,891.2996835,15
10104102023,323,957.5342745,32
10104102024,260,944.1565268,28
10104102025,389,944.6935104,28
10104102026,183,1018.750022,56
10104102027,264,956.4326198,32
10104102028,510,992.0862541,45
10104102029,342,927.4961906,23
10104102030,417,880.335274,12
10104102031,206,967.5838237,36
10104102032,244,905.2773606,18
10104102102,220,983.4307774,42
10104102104,756,1033.315008,61
10104102105,600,998.3772164,48
10104102106,638,945.0321898,28
10104102107,608,1018.52346,55
10104102108,464,1029.228505,60
10104102110,454,989.3036059,44
10104102111,54,1057.036963,70
10104102201,43,929.4223271,24
10104102301,368,890.2504326,14
10104102302,401,934.2096346,25
10104102303,418,975.102176,39
10104102304,195,940.0256664,27
10104102305,479,891.2507756,15
10104102306,330,858.8108756,9
10104102307,329,818.3103984,5
10104102308,573,759.3141908,2
10104102309,327,926.624206,23
10104102401,309,985.263449,42
10104102402,312,958.7201329,33
10104102403,249,827.5530639,5
10104102404,440,954.7643202,31
10104102405,286,961.652447,34
10104102406,263,967.4551272,36
10104102407,316,985.1042983,42
10104102408,281,873.5940309,11
10104102409,285,1004.165039,50
10104102410,207,960.9309513,33
10104102411,245,898.6042027,16
10104102412,319,1037.439806,63
10104102502,329,984.3703182,42
10104102503,368,885.0385694,13
10104102504,365,933.4070339,25
10104102505,292,933.5188643,25
10104102506,319,1005.134365,50
10104102507,275,1053.968346,69
10104102508,610,955.6773779,32
10104102509,134,998.0069154,47
10104102510,442,1038.560465,63
10104102511,410,969.5734948,37
10104102512,505,983.4200739,42
10104102513,469,964.8036891,35
10104102514,236,928.5149929,23
10104102516,321,957.8776779,32
10104102517,301,993.6505187,46
