"","sa1reg","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"1","20101100101",19,11,3,0,13,3,12,16,10,3
"2","20101100102",5,0,0,0,3,0,3,6,0,8
"3","20101100105",65,0,7,4,5,0,7,3,3,4
"4","20101100106",18,6,10,4,13,7,11,12,7,8
"5","20101100107",0,0,0,8,4,4,6,0,3,0
"6","20101100108",21,0,9,4,16,16,11,15,25,10
"7","20101100109",0,8,9,5,12,10,12,8,13,3
"8","20101100110",35,9,10,16,16,8,16,3,8,6
"9","20101100111",17,7,0,3,10,6,3,3,5,6
"10","20101100112",12,3,8,5,7,9,3,6,4,5
"11","20101100113",6,4,3,5,9,8,4,8,7,4
"12","20101100114",21,6,6,0,7,8,6,14,5,11
"13","20101100118",3,8,10,8,6,7,10,6,3,0
"14","20101100119",36,16,20,22,14,13,19,21,11,19
"15","20101100120",13,12,22,11,16,14,18,12,10,16
"16","20101100121",26,9,16,18,13,23,9,14,15,20
"17","20101100124",21,8,8,10,8,15,22,7,17,10
"18","20101100125",15,12,3,10,15,11,16,9,14,15
"19","20101100126",17,13,15,5,13,7,12,15,5,16
"20","20101100127",24,13,7,6,7,9,10,11,4,7
"21","20101100128",4,0,4,6,3,9,7,6,0,10
"22","20101100129",9,5,6,9,0,13,6,9,6,8
"23","20101100130",5,0,3,0,10,9,8,8,7,10
"24","20101100131",3,0,0,4,0,5,6,4,0,7
"25","20101100132",33,9,16,14,20,14,16,15,19,16
"26","20101100133",5,7,11,3,0,10,12,3,8,11
"27","20101100134",0,0,0,4,0,0,0,0,0,0
"28","20101100135",9,5,7,3,9,3,6,7,7,5
"29","20101100136",17,6,6,11,5,13,15,12,5,13
"30","20101100137",23,0,4,4,10,8,7,8,6,7
"31","20101100138",11,0,5,8,3,4,10,8,5,11
"32","20101100139",0,0,0,0,0,0,0,0,0,0
"33","20101100140",18,18,12,3,3,7,13,13,12,7
"34","20101100141",9,0,9,6,0,4,6,3,3,6
"35","20101100142",0,0,7,4,10,9,8,12,12,0
"36","20101100201",17,15,15,8,5,9,8,6,3,4
"37","20101100202",6,0,4,11,0,6,5,0,3,0
"38","20101100203",7,8,3,0,9,8,3,6,5,3
"39","20101100204",11,8,4,6,8,6,12,5,5,7
"40","20101100205",18,8,8,0,13,4,6,12,10,4
"41","20101100206",24,52,40,39,12,15,3,9,3,7
"42","20101100207",10,0,8,0,14,7,7,11,9,0
"43","20101100208",15,15,6,8,16,9,9,3,14,5
"44","20101100209",0,0,0,0,0,0,0,0,0,0
"45","20101100210",0,0,0,0,0,0,0,0,0,0
"46","20101100211",16,3,7,0,8,10,0,12,11,0
"47","20101100212",0,0,0,0,9,0,4,0,3,6
"48","20101100213",13,6,0,12,3,8,0,0,0,9
"49","20101100214",10,6,0,5,10,3,9,7,5,5
"50","20101100215",16,0,0,0,6,0,3,3,0,5
"51","20101100216",9,0,0,0,7,3,0,3,0,3
"52","20101100217",7,0,3,0,5,6,12,0,3,3
"53","20101100218",12,6,8,0,4,7,7,3,0,4
"54","20101100219",28,5,0,0,3,0,3,0,0,3
"55","20101100220",5,0,3,0,0,0,0,0,0,0
"56","20101100221",0,13,0,0,3,0,3,0,0,0
"57","20101100222",0,11,9,9,12,5,12,3,11,10
"58","20101100223",21,0,0,3,8,6,5,0,3,9
"59","20101100224",0,4,12,4,6,0,5,8,7,4
"60","20101100225",6,0,0,0,0,5,0,0,0,0
"61","20101100226",7,0,0,0,0,0,3,0,0,0
"62","20101100227",13,6,8,5,3,5,0,0,5,6
"63","20101100228",0,6,0,5,3,9,0,0,4,0
"64","20101100229",14,3,0,0,3,3,0,0,4,0
"65","20101100230",10,0,0,4,0,0,5,10,4,3
"66","20101100231",20,0,0,3,6,4,5,6,9,5
"67","20101100232",3,3,0,3,0,3,0,3,0,0
"68","20101100233",3,7,0,4,3,8,6,4,3,5
